Date,AdjClose,Close,High,Low,Open,Volume
2019-09-20,1794.16,1794.16,1830.63,1781.0,1821.71,4324478
2019-09-19,1821.5,1821.5,1832.5699,1817.9,1821.02,2031500
2019-09-18,1817.46,1817.46,1822.0601,1795.5,1817.04,2505600
2019-09-17,1822.55,1822.55,1823.99,1804.1,1807.08,1982400
2019-09-16,1807.84,1807.84,1825.6899,1800.2,1824.02,3675500
2019-09-13,1839.34,1839.34,1846.12,1835.17,1842.01,1971300
2019-09-12,1843.55,1843.55,1853.66,1834.28,1837.63,2823500
2019-09-11,1822.99,1822.99,1833.42,1809.08,1812.14,2432800
2019-09-10,1820.55,1820.55,1825.8101,1805.34,1822.75,2613900
2019-09-09,1831.35,1831.35,1850.0,1824.61,1841.0,2999500
2019-09-06,1833.51,1833.51,1840.65,1826.4,1838.22,2496900
2019-09-05,1840.72,1840.72,1842.0,1815.58,1821.95,3310800
2019-09-04,1800.62,1800.62,1807.63,1796.23,1805.0,2324100
2019-09-03,1789.84,1789.84,1800.8,1768.0,1770.0,3543000
2019-08-30,1776.29,1776.29,1799.74,1764.5699,1797.49,3058700
2019-08-29,1786.4,1786.4,1798.55,1777.25,1783.0,3015100
2019-08-28,1764.25,1764.25,1767.86,1744.05,1755.0,2419700
2019-08-27,1761.83,1761.83,1779.4,1746.6801,1775.73,3019700
2019-08-26,1768.87,1768.87,1770.0,1743.51,1766.91,3080000
2019-08-23,1749.62,1749.62,1804.9,1745.23,1793.03,5270800
2019-08-22,1804.66,1804.66,1829.41,1800.1,1828.0,2653500
2019-08-21,1823.54,1823.54,1829.58,1815.0,1819.39,2031800
2019-08-20,1801.38,1801.38,1816.8199,1799.88,1814.5,1929500
2019-08-19,1816.12,1816.12,1826.0,1812.61,1818.08,2816300
2019-08-16,1792.5699,1792.57,1802.91,1784.55,1792.89,3018000
2019-08-15,1776.12,1776.12,1788.0,1761.96,1781.99,3759100
2019-08-14,1762.96,1762.96,1795.65,1757.22,1793.01,4893600
2019-08-13,1824.34,1824.34,1831.743,1780.0,1783.0,3994000
2019-08-12,1784.92,1784.92,1800.98,1777.0,1795.99,2905500
2019-08-09,1807.58,1807.58,1831.091,1802.22,1828.95,2879800
2019-08-08,1832.89,1832.89,1834.2229,1798.11,1806.0,3701200
2019-08-07,1793.4,1793.4,1798.93,1757.0,1773.99,4526900
2019-08-06,1787.83,1787.83,1793.77,1753.4,1792.23,5070300
2019-08-05,1765.13,1765.13,1788.67,1748.78,1770.22,6058200
2019-08-02,1823.24,1823.24,1846.3981,1808.02,1845.07,4956200
2019-08-01,1855.3199,1855.32,1897.92,1844.01,1871.72,4713300
2019-07-31,1866.78,1866.78,1899.55,1849.44,1898.11,4470700
2019-07-30,1898.53,1898.53,1909.89,1883.48,1891.12,2910900
2019-07-29,1912.45,1912.45,1932.23,1890.54,1929.9476,4493200
2019-07-26,1943.05,1943.05,1950.9,1924.51,1942.0,4927100
2019-07-25,1973.8199,1973.82,2001.2,1972.72,2001.0,4136500
2019-07-24,2000.8101,2000.81,2001.3,1965.87,1969.3,2631300
2019-07-23,1994.49,1994.49,1997.79,1973.13,1995.99,2703500
2019-07-22,1985.63,1985.63,1989.0,1958.26,1971.14,2900000
2019-07-19,1964.52,1964.52,1996.0,1962.23,1991.1348,3185600
2019-07-18,1977.9,1977.9,1987.5,1951.55,1980.01,3504300
2019-07-17,1992.03,1992.03,2011.9529,1992.03,2007.05,2558800
2019-07-16,2009.9,2009.9,2026.32,2001.262,2010.58,2618200
2019-07-15,2020.99,2020.99,2022.9,2001.55,2021.4,2981300
2019-07-12,2011.0,2011.0,2017.0,2004.0356,2008.27,2509300
2019-07-11,2001.0699,2001.07,2035.8,1995.3,2025.62,4317800
